id,city_id,location_id,camera_id,co,no2,so2,o3,pm25,pm10,temp,hum,time,ver,lat,lon,created
10,2,781,5779,10.69,5.55,0,0.76,64,72,18.64,24.06,12/10/22 18:00,-1,43.214086,76.898003,12/10/22 11:59
12,2,780,4571,6.09,0,0,0.56,49,53,17.77,21.82,12/10/22 18:00,-1,43.199581,76.894464,12/10/22 11:59
14,2,337,1724,10.39,4.86,0,1.03,56,61,18.54,22.46,12/10/22 18:00,-1,43.24417,76.915991,12/10/22 11:59
15,2,2,420,9.89,0,0,0.85,68,80,18.66,19.98,12/10/22 18:00,-1,43.238362,76.889989,12/10/22 11:59
18,2,741,4553,8.6,1,0,0.93,50,56,17.63,24.09,12/10/22 18:00,-1,43.237604,76.934758,12/10/22 11:59
11,2,334,1695,9.6,0.75,0,0.73,42,44,18.84,20.27,12/10/22 17:59,-1,43.235258,76.90451,12/10/22 11:59
13,2,285,1378,4.09,0.05,0,0.4,35,40,17.27,22.94,12/10/22 17:59,-1,43.203173,76.86691,12/10/22 11:59
17,2,802,4429,11.19,0,0,1.07,64,73,17.62,24.94,12/10/22 17:59,-1,43.241658,76.93755,12/10/22 11:59
10,2,781,5779,10.69,5.55,0,0,64,72,18.66,24.05,12/10/22 17:59,-1,43.214086,76.898003,12/10/22 11:59
12,2,780,4571,6.09,0,0,0.56,47,54,17.77,21.82,12/10/22 17:59,-1,43.199581,76.894464,12/10/22 11:59
14,2,337,1724,10.39,4.84,0,1.02,56,61,18.54,22.39,12/10/22 17:59,-1,43.24417,76.915991,12/10/22 11:59
15,2,2,420,9.89,0,0,0.85,68,80,18.65,19.75,12/10/22 17:59,-1,43.238362,76.889989,12/10/22 11:59
18,2,741,4553,8.6,1,0,0.93,50,56,17.62,24.09,12/10/22 17:59,-1,43.237604,76.934758,12/10/22 11:59
11,2,334,1695,9.6,0.75,0,0.73,42,44,18.84,20.3,12/10/22 17:59,-1,43.235258,76.90451,12/10/22 11:59
13,2,285,1378,4.09,0.05,0,0.35,35,40,17.27,22.96,12/10/22 17:59,-1,43.203173,76.86691,12/10/22 11:59
17,2,802,4429,11.3,0,0,1.06,64,73,17.61,24.88,12/10/22 17:59,-1,43.241658,76.93755,12/10/22 11:59
19,2,9,450,12.8,5.98,0,0.38,89,99,17.57,26.22,12/10/22 17:59,-1,43.212825,76.920813,12/10/22 11:59
10,2,781,5779,10.6,5.55,0,0.76,64,72,18.67,24.05,12/10/22 17:59,-1,43.214086,76.898003,12/10/22 11:59
12,2,780,4571,6.09,0,0,0.56,47,54,17.77,21.82,12/10/22 17:59,-1,43.199581,76.894464,12/10/22 11:59
14,2,337,1724,10.3,4.84,0,0,56,61,18.54,22.34,12/10/22 17:59,-1,43.24417,76.915991,12/10/22 11:59
15,2,2,420,9.89,0,0,0.85,41,44,18.66,19.66,12/10/22 17:59,-1,43.238362,76.889989,12/10/22 11:59
18,2,741,4553,8.6,1,0,0.93,50,56,17.61,24.06,12/10/22 17:59,-1,43.237604,76.934758,12/10/22 11:59
11,2,334,1695,9.6,0.75,0,0.73,42,44,18.84,20.31,12/10/22 17:59,-1,43.235258,76.90451,12/10/22 11:59
13,2,285,1378,4.09,0.05,0,0.39,35,40,17.27,22.97,12/10/22 17:59,-1,43.203173,76.86691,12/10/22 11:59
14,2,337,1724,10.3,4.84,0,1.01,56,61,18.54,22.4,12/10/22 17:59,-1,43.24417,76.915991,12/10/22 11:59
17,2,802,4429,11.3,0,0,1.06,64,73,17.6,24.92,12/10/22 17:59,-1,43.241658,76.93755,12/10/22 11:59
19,2,9,450,12.8,5.98,0,0.38,89,99,17.59,26.25,12/10/22 17:59,-1,43.212825,76.920813,12/10/22 11:59
10,2,781,5779,10.6,5.55,0,0,64,72,18.67,24.02,12/10/22 17:59,-1,43.214086,76.898003,12/10/22 11:59
12,2,780,4571,6.09,0,0,0.56,47,54,17.77,21.82,12/10/22 17:59,-1,43.199581,76.894464,12/10/22 11:59
15,2,2,420,9.89,0,0,0.85,41,44,18.66,19.62,12/10/22 17:59,-1,43.238362,76.889989,12/10/22 11:59
18,2,741,4553,8.6,1,0,0.93,72,85,17.6,24.05,12/10/22 17:59,-1,43.237604,76.934758,12/10/22 11:59
11,2,334,1695,9.6,0.76,0,0.73,42,44,18.84,20.33,12/10/22 17:59,-1,43.235258,76.90451,12/10/22 11:59
13,2,285,1378,4.09,0.05,0,0.39,35,40,17.28,22.99,12/10/22 17:59,-1,43.203173,76.86691,12/10/22 11:59
17,2,802,4429,11.3,0,0,1.06,64,73,17.61,24.98,12/10/22 17:59,-1,43.241658,76.93755,12/10/22 11:59
19,2,9,450,12.8,5.98,0,0.38,89,99,17.6,26.32,12/10/22 17:59,-1,43.212825,76.920813,12/10/22 11:59
10,2,781,5779,10.6,5.55,0,0.76,64,72,18.67,23.99,12/10/22 17:59,-1,43.214086,76.898003,12/10/22 11:59
12,2,780,4571,6.09,0,0,0.56,47,54,17.78,21.82,12/10/22 17:59,-1,43.199581,76.894464,12/10/22 11:59
14,2,337,1724,10.3,4.82,0,1.01,56,61,18.54,22.51,12/10/22 17:59,-1,43.24417,76.915991,12/10/22 11:59
15,2,2,420,9.89,0,0,0.85,41,44,18.65,19.62,12/10/22 17:59,-1,43.238362,76.889989,12/10/22 11:59
16,2,317,3022,12.39,5.53,0,0.73,159,170,19.28,22.24,12/10/22 17:59,-1,43.246817,76.877159,12/10/22 11:59
18,2,741,4553,8.6,1,0,0.92,72,85,17.61,24.03,12/10/22 17:59,-1,43.237604,76.934758,12/10/22 11:59
11,2,334,1695,9.6,0.76,0,0.73,42,44,18.83,20.34,12/10/22 17:59,-1,43.235258,76.90451,12/10/22 11:59
13,2,285,1378,4.09,0.05,0,0.34,35,40,17.28,23.04,12/10/22 17:59,-1,43.203173,76.86691,12/10/22 11:59
17,2,802,4429,11.3,0,0,1.06,64,73,17.62,25.06,12/10/22 17:59,-1,43.241658,76.93755,12/10/22 11:59
19,2,9,450,12.8,5.98,0,0,89,99,17.61,26.45,12/10/22 17:59,-1,43.212825,76.920813,12/10/22 11:59
10,2,781,5779,10.6,5.55,0,0,64,72,18.68,23.97,12/10/22 17:59,-1,43.214086,76.898003,12/10/22 11:59
12,2,780,4571,6.09,0,0,0.56,47,54,17.78,21.81,12/10/22 17:59,-1,43.199581,76.894464,12/10/22 11:59
14,2,337,1724,10.3,4.82,0,1,56,61,18.54,22.65,12/10/22 17:59,-1,43.24417,76.915991,12/10/22 11:59
15,2,2,420,9.89,0,0,0.85,41,44,18.65,19.63,12/10/22 17:59,-1,43.238362,76.889989,12/10/22 11:59
18,2,741,4553,8.6,1.01,0,0.92,72,85,17.6,24.02,12/10/22 17:59,-1,43.237604,76.934758,12/10/22 11:59
11,2,334,1695,9.6,0.77,0,0.73,42,44,18.82,20.34,12/10/22 17:59,-1,43.235258,76.90451,12/10/22 11:59
13,2,285,1378,4.09,0.05,0,0.39,35,40,17.29,23.06,12/10/22 17:59,-1,43.203173,76.86691,12/10/22 11:59
17,2,802,4429,11.3,0,0,1.06,64,73,17.63,25.09,12/10/22 17:59,-1,43.241658,76.93755,12/10/22 11:59
19,2,9,450,12.8,5.98,0,0.38,89,99,17.62,26.57,12/10/22 17:59,-1,43.212825,76.920813,12/10/22 11:59
